,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,ret_a,ret_b,weight_a,weight_b,pair_id,target_notional_a,target_notional_b,pair_pnl,pair_gross_exposure
2012-01-03,18.998760223388672,31.240074157714844,1.0,-12.241313934326172,,0,,0,,0,0,kalman_beta,0.0,0.0,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-04,18.309223175048828,30.486013412475582,0.6005782398576811,-1.3100493415407755e-05,,0,,0,,0,0,kalman_beta,-0.036293791817582965,-0.024137610603368054,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-05,18.350059509277344,30.752479553222656,0.5967419166956565,-0.0012340824567296238,,0,,0,,0,0,kalman_beta,0.0022303695704668502,0.008740603014955939,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-06,18.300148010253903,30.746816635131836,0.5952044737905468,-0.0004948057941724926,,0,,0,,0,0,kalman_beta,-0.0027199638779485946,-0.00018414508921205108,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-09,18.327373504638672,30.877216339111328,0.5935734621999524,-0.000522700864578951,,0,,0,,0,0,kalman_beta,0.0014877199009273312,0.004241079833627204,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-10,18.644922256469727,31.364809036254883,0.5944447904014825,0.0002749229306679979,,0,,0,,0,0,kalman_beta,0.017326473526099173,0.015791342450968804,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-11,18.64038848876953,31.46687126159668,0.5924018009968021,-0.0006427183348556298,,0,,0,,0,0,kalman_beta,-0.00024316366879040263,0.003254036242459568,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-12,18.51336669921875,31.325115203857425,0.5910210687574653,-0.0004363675157925684,,0,,0,,0,0,kalman_beta,-0.006814331666279871,-0.004504930171187915,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-13,18.649463653564453,31.48387908935547,0.5923364783169405,0.0004135900192707709,,0,,0,,0,0,kalman_beta,0.0073512806480220405,0.005068261823295561,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-17,18.853593826293945,31.58026123046875,0.5969597387254242,0.0014493332726779329,,0,,0,,0,0,kalman_beta,0.010945632352835855,0.0030613172169711156,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-18,18.889892578125,31.591602325439453,0.5979306815335251,0.0003042689388905728,,0,,0,,0,0,kalman_beta,0.0019252961618612119,0.0003591197326691109,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-19,18.77193832397461,31.26275634765625,0.6004315854737895,0.0007919638705899956,,0,,0,,0,0,kalman_beta,-0.006244305183978893,-0.010409284543265951,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-20,18.53150749206543,31.240074157714844,0.5932693003122054,-0.0022694451834652796,,0,,0,,0,0,kalman_beta,-0.012807991788579054,-0.0007255339129144112,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-23,18.69029426574707,31.2684268951416,0.5976921763513668,0.0014001437062738376,,0,,0,,0,0,kalman_beta,0.008568475810703857,0.0009075758682139945,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-24,18.59502601623535,31.44985580444336,0.5913232398330245,-0.0020046103295463524,0.26667451783141477,0,,0,,0,0,kalman_beta,-0.005097204364851171,0.005802303707512335,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-25,18.75833511352539,32.11320877075195,0.5841998307704233,-0.0021960158431717502,0.2575742795941969,0,,0,,0,0,kalman_beta,0.008782407572189177,0.021092400882005702,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-26,19.066816329956055,32.50442123413086,0.586569270752754,0.0007216704115826644,0.2503472758267741,0,,0,,0,0,kalman_beta,0.016445021083360434,0.012182291286170432,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-01-27,19.01691246032715,32.45907211303711,0.5858800463363598,-0.00021021329427739488,0.24255856925116404,0,,0,,0,0,kalman_beta,-0.0026173152751517437,-0.001395167776318762,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-30,18.889892578125,32.21527862548828,0.5863598250363189,0.00014743978742615127,0.23584806585755322,0,,0,,0,0,kalman_beta,-0.006679311505857544,-0.007510796571751355,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-01-31,19.066816329956055,32.436378479003906,0.58780835327857,0.0004421098923224065,0.22966189416539753,0,,0,,0,0,kalman_beta,0.009366053888307357,0.00686319854892381,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-01,19.089496612548828,32.41938781738281,0.5888201145369929,0.00030896469828789463,0.22379760333856313,0,,0,,0,0,kalman_beta,0.001189515973736066,-0.0005238150008667342,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-02,18.924217224121097,32.447723388671875,0.5832738768855413,-0.001692192899202638,0.21765621768253346,0,,0,,0,0,kalman_beta,-0.008658132363693727,0.0008740316581137275,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-03,19.1629581451416,32.6774787902832,0.5863981045842636,0.0009465199270586311,0.21366207714753876,0,,0,,0,0,kalman_beta,0.012615629919751736,0.00708078649645838,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-06,19.13081741333008,32.68896484375,0.5852484374158591,-0.00034818221655896764,0.20845850025333726,0,,0,,0,0,kalman_beta,-0.0016772322711391396,0.0003514975417935329,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-07,19.456785202026367,32.918739318847656,0.5910024243226847,0.0017304589409192772,0.20489993921786695,0,,0,,0,0,kalman_beta,0.01703888452090685,0.007029114448743101,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-08,19.51187515258789,32.94744873046875,0.5922010878363427,0.00036017297216872635,0.20020009544610112,0,,0,,0,0,kalman_beta,0.002831400459505806,0.0008721297417564333,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-09,19.236408233642575,32.78662872314453,0.5867651049333767,-0.0016414095049910316,0.19547953305488466,0,,0,,0,0,kalman_beta,-0.014117911107522696,-0.004881106535435498,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-02-10,18.99767303466797,32.424747467041016,0.5859084824095364,-0.0002615462584927286,0.19241116909004616,0,,0,,0,0,kalman_beta,-0.012410591211985289,-0.011037464667663754,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2012-02-13,19.14459991455078,32.84981155395508,0.582820106374978,-0.0009307497232988737,0.18865515593627322,0,,0,,0,0,kalman_beta,0.007733940868162703,0.0131092489570237,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2012-02-14,18.818626403808594,32.53388977050781,0.5784721596369832,-0.001323073128617125,0.18520193881261612,0,,0,,0,0,kalman_beta,-0.017026916843241646,-0.009617156644213032,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
