pair_id,symbol_a,symbol_b,entry_date,side,entry_z,exit_date,exit_reason,pnl
ES__SO,ES,SO,2012-05-03,1,-3.1338291443196717,2012-05-04,mean_reversion_exit,109.78102715793725
ES__SO,ES,SO,2012-05-21,-1,2.3811971530329803,2012-05-24,mean_reversion_exit,-660.1514215253117
ES__SO,ES,SO,2012-06-29,-1,2.463748295704643,2012-07-02,mean_reversion_exit,4.968720692807071
ES__SO,ES,SO,2012-10-01,-1,2.9280740269778684,2012-10-08,mean_reversion_exit,-168.30697205817467
ES__SO,ES,SO,2012-11-05,-1,2.532479133123143,2012-11-09,mean_reversion_exit,-534.0395312692831
ES__SO,ES,SO,2013-02-01,-1,2.276164385175299,2013-02-04,mean_reversion_exit,-37.444669865823336
ES__SO,ES,SO,2013-04-24,-1,2.635461757929278,2013-04-29,mean_reversion_exit,-52.35057385105211
ES__SO,ES,SO,2013-06-07,-1,3.1449564055632835,2013-06-12,mean_reversion_exit,635.40677025143
ES__SO,ES,SO,2013-06-20,1,-2.9045151882539786,2013-06-24,mean_reversion_exit,49.0665505034538
ES__SO,ES,SO,2013-08-13,1,-2.3441343834002377,2013-08-15,mean_reversion_exit,-259.1081162914252
ES__SO,ES,SO,2013-11-01,1,-2.633923125464638,2013-11-14,mean_reversion_exit,-1177.0994293019642
ES__SO,ES,SO,2013-12-11,-1,2.286168339611989,2013-12-19,mean_reversion_exit,-322.0249260892614
ES__SO,ES,SO,2014-04-30,-1,2.9733819005418773,2014-05-01,mean_reversion_exit,-33.844615582004856
ES__SO,ES,SO,2014-07-31,1,-2.5505244392145423,2014-08-05,mean_reversion_exit,-462.89107908960773
ES__SO,ES,SO,2014-09-17,-1,2.305550268644021,2014-09-18,mean_reversion_exit,-25.618622693089808
ES__SO,ES,SO,2014-10-03,-1,2.4788506418651592,2014-10-06,mean_reversion_exit,-99.84022808209511
ES__SO,ES,SO,2014-11-07,-1,3.593767526146596,2014-11-13,mean_reversion_exit,847.8016646274415
ES__SO,ES,SO,2014-12-23,-1,2.4539988944301028,2014-12-26,mean_reversion_exit,-167.2587794560122
ES__SO,ES,SO,2015-01-30,-1,3.551467423380094,2015-02-03,mean_reversion_exit,-264.6648206203798
ES__SO,ES,SO,2015-02-04,-1,2.5614234524584445,2015-02-12,mean_reversion_exit,-70.64089854685668
ES__SO,ES,SO,2015-04-30,1,-2.494418483464058,2015-05-07,mean_reversion_exit,-591.0257920040592
ES__SO,ES,SO,2015-08-31,1,-2.5453189168149386,2015-09-01,mean_reversion_exit,53.122467617462426
ES__SO,ES,SO,2015-09-22,-1,2.7288223925439277,2015-09-25,mean_reversion_exit,26.951313671404606
ES__SO,ES,SO,2015-09-30,-1,2.626284379638001,2015-10-02,mean_reversion_exit,33.35344123164839
ES__SO,ES,SO,2015-12-01,1,-2.68736827694928,2015-12-02,mean_reversion_exit,166.4527614454586
ES__SO,ES,SO,2015-12-10,1,-2.42446695200256,2015-12-11,mean_reversion_exit,92.24256462695107
ES__SO,ES,SO,2015-12-18,1,-2.4300042822590213,2015-12-24,mean_reversion_exit,59.217588121771186
ES__SO,ES,SO,2016-02-03,-1,3.9339693463767667,2016-02-05,mean_reversion_exit,380.8945484545819
ES__SO,ES,SO,2016-02-08,1,-2.404397658160753,2016-02-09,mean_reversion_exit,29.507192259244782
ES__SO,ES,SO,2016-05-06,-1,2.72223628709708,2016-05-09,mean_reversion_exit,-6.074865438095104
ES__SO,ES,SO,2016-07-14,1,-2.717730277799385,2016-07-15,mean_reversion_exit,27.867954204829253
ES__SO,ES,SO,2016-11-07,-1,2.5919364039447563,2016-11-15,mean_reversion_exit,-725.8977221671523
ES__SO,ES,SO,2016-11-16,1,-2.5103070063004,2016-11-18,mean_reversion_exit,525.8401732350063
ES__SO,ES,SO,2016-11-28,-1,2.4234656139524513,2016-12-05,mean_reversion_exit,-40.91084446457603
ES__SO,ES,SO,2016-12-07,-1,2.4373019445172623,2016-12-08,mean_reversion_exit,-18.94868875968099
ES__SO,ES,SO,2017-03-22,-1,2.52771134152274,2017-03-31,mean_reversion_exit,-327.0247825266012
ES__SO,ES,SO,2017-06-16,-1,2.9505634436774972,2017-06-26,mean_reversion_exit,-970.4467071043484
ES__SO,ES,SO,2017-07-27,1,-2.810289553683216,2017-08-07,mean_reversion_exit,-426.72554062360877
ES__SO,ES,SO,2017-11-03,-1,3.364961225056629,2017-11-08,mean_reversion_exit,-1191.1399739932463
ES__SO,ES,SO,2017-12-04,-1,2.383370836650251,2017-12-14,mean_reversion_exit,1383.9458816423642
ES__SO,ES,SO,2017-12-22,-1,3.37221181286484,2017-12-26,mean_reversion_exit,-235.83131812223095
ES__SO,ES,SO,2018-01-02,-1,2.342251674340658,2018-01-05,mean_reversion_exit,276.79555695129005
ES__SO,ES,SO,2018-01-11,-1,2.319814478493225,2018-01-17,mean_reversion_exit,-308.5050066670711
ES__SO,ES,SO,2018-01-25,-1,4.527301593335316,2018-01-26,mean_reversion_exit,-122.86752198774663
ES__SO,ES,SO,2018-01-29,1,-2.3199913586655607,2018-01-31,mean_reversion_exit,-906.4497610133368
ES__SO,ES,SO,2018-02-01,1,-3.1521797175375803,2018-02-09,mean_reversion_exit,-1716.0242955761778
ES__SO,ES,SO,2018-03-01,1,-2.3037876126108725,2018-03-02,mean_reversion_exit,69.40515057188365
ES__SO,ES,SO,2018-05-23,1,-2.846939959174315,2018-05-24,mean_reversion_exit,-247.12391079593448
